Quanlity,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.003475
intermediate,0,yeast.machine.2,0.002675
intermediate,0,yeast.machine.3,0.007073415
good,0,yeast.manual.1,0.005875
good,0,yeast.manual.10,0.01
good,0,yeast.manual.11,0.0057
good,0,yeast.manual.2,0.006125
good,0,yeast.manual.3,0.067175
good,0,yeast.manual.4,0.025225
poor,0,yeast.manual.5,0.005425
poor,0,yeast.manual.6,0.0117
good,0,yeast.manual.7,0.0115
poor,0,yeast.manual.8,0.000525
poor,0,yeast.manual.9,0.005075
