Quanlity,Day,Sample,Abun
good,0,wine.machine2.14..1,0.4262
good,0,wine.machine2.14..2,0.433825
good,0,wine.machine2.16,0.439475
good,0,wine.machine2.2,0.3822
good,0,wine.machine2.4,0.4183
good,0,wine.machine2.7..1,0.45835
good,0,wine.machine2.7..2,0.406075
good,0,wine.machine3.14..1,0.17175
good,0,wine.machine3.14..2,0.22935
good,0,wine.machine3.16,0.071428571
good,0,wine.machine3.2,0.3325
good,0,wine.machine3.4,0.26595
good,0,wine.machine3.7,0.226725
